user_loc_country_code,count
,885701185
US,371566334
GB,96563542
IN,84682148
CA,46613867
BR,38472290
ES,36570803
FR,34958941
MX,26371142
DE,20836102
AU,18076797
AR,17633878
NG,17198576
ID,16846568
IT,16820706
VE,16716084
CO,14910829
JP,12517046
PH,12132200
MY,11659014
ZA,11056162
SA,9909233
TR,8971183
CL,8898137
NL,8635806
PK,7179622
IE,7106021
TH,7065286
CN,6561987
PE,6248571
EC,5988572
KE,5253652
AE,4932971
PT,4085902
BE,4025753
UY,3616685
CH,3342043
KR,3114301
RU,2915067
GH,2889901
NZ,2876432
GR,2587412
NO,2561102
PY,2551835
PL,2432479
SE,2340582
AT,2331466
EG,2241820
PA,2230911
KW,2179995
CU,2172882
RO,2023256
SV,1989006
UG,1875128
GT,1849203
VN,1818880
JM,1811937
DO,1751271
IR,1718875
SG,1585246
FI,1570023
CM,1505340
TN,1467941
UA,1456285
IQ,1327566
NP,1305094
DK,1196782
NE,1165985
MM,1005215
CR,998227
LT,994751
TW,982253
IL,964653
HT,948681
TZ,943323
CZ,936402
JO,910352
ZW,892560
NI,888044
BO,875632
QA,860323
BD,855689
LK,851043
CY,791716
OM,789387
LB,772856
HN,742582
MA,728038
YE,695917
GE,680765
SN,652802
MV,639528
DZ,635661
TT,583435
HU,577752
BH,568885
BG,536501
RS,514427
RW,495776
AZ,493665
SI,491242
CD,488967
MW,474717
AL,473754
ET,472372
LR,471501
MN,451427
LV,418837
SD,397657
BS,387016
NA,368897
SO,361428
MD,348690
SS,342598
AF,312076
BW,306407
BA,299269
JE,282074
TG,274385
PS,271171
GM,269943
SK,265657
LU,259683
SC,254254
AO,249009
ML,248137
HR,246309
EE,239111
BB,231253
ZM,224504
LA,218791
BY,215269
GA,213993
MG,212728
FJ,209522
TJ,203559
PG,199140
CI,182739
SY,182350
SL,180545
BF,179791
MZ,176426
IS,175893
LY,161606
KY,161399
IM,159539
TD,158928
MT,150717
KH,149988
CF,146319
BJ,142698
LS,139800
KZ,132113
GN,129655
AM,126162
XK,124860
BZ,121735
MK,119099
KP,117375
GY,110126
ME,101777
GG,100024
MU,97603
LC,96726
UZ,94500
VC,93517
MC,85295
BM,82376
CG,81071
AD,75566
CV,73928
GL,72558
KG,70064
BN,67119
TM,64350
AG,62707
SZ,61235
GI,56396
MR,52627
EH,50072
BI,48085
TO,47768
FK,46902
MS,44646
DJ,43310
GD,37101
SR,36347
LI,30041
GQ,28482
VU,26722
BT,25314
TL,24555
SB,23366
TC,22043
KN,22020
MH,21997
FM,21194
ER,19929
VG,19885
DM,19231
NU,17642
WS,16511
ST,15873
SH,15551
GW,14539
FO,11805
SM,11519
KM,11403
CK,10149
PN,8283
KI,8281
IO,8217
GS,8003
TV,7638
AI,4924
NR,4492
PW,3785
TK,2589
VA,2167
user_loc_country_code,89
